id,item_type,title,chars,words
1202,Still Image,(Missing Title; NARA),21,3
1203,Still Image,(Missing Title; NARA),21,3
1204,Still Image,(Missing Title; NARA),21,3
1205,Still Image,(Missing Title; NARA),21,3
1206,Still Image,(Missing Title; NARA),21,3
1207,Still Image,(Missing Title; NARA),21,3
1208,Still Image,Loading platform,143,20
1209,Still Image,(Missing Title; NARA),21,3
1210,Still Image,(Missing Title; NARA),21,3
1211,Still Image,(Missing Title; NARA),21,3
1212,Still Image,(Missing Title; NARA),21,3
1213,Still Image,(Missing Title; NARA),21,3
1214,Still Image,"Interior of a barrack, 28 April 1945",36,7
1215,Still Image,(Missing Title; NARA),21,3
1216,Still Image,(Missing Title; NARA),21,3
1217,Still Image,(Missing Title; NARA),21,3
1218,Still Image,(Missing Title; NARA),21,3
1219,Still Image,(Missing Title; NARA),21,3
1220,Still Image,(Missing Title; NARA),21,3
1221,Still Image,(Missing Title; NARA),21,3
1222,Still Image,(Missing Title; NARA),21,3
1223,Still Image,(Missing Title; NARA),21,3
1224,Still Image,(Missing Title; NARA),21,3
1225,Still Image,(Missing Title; NARA),21,3
1226,Still Image,(Missing Title; NARA),21,3
1227,Still Image,(Missing Title; NARA),21,3
1228,Still Image,(Missing Title; NARA),21,3
1229,Still Image,(Missing Title; NARA),21,3
1230,Still Image,Interior of a kitchen (after liberation),40,6
1231,Still Image,(Missing Title; NARA),21,3
1232,Still Image,(Missing Title; NARA),21,3
1233,Still Image,(Missing Title; NARA),21,3
1234,Still Image,(Missing Title; NARA),21,3
1235,Still Image,(Missing Title; NARA),21,3
1236,Still Image,(Missing Title; NARA),21,3
1237,Still Image,(Missing Title; NARA),21,3
1238,Still Image,(Missing Title; NARA),21,3
1239,Still Image,(Missing Title; NARA),21,3
1240,Still Image,(Missing Title; NARA),21,3
1241,Still Image,(Missing Title; NARA),21,3
1242,Still Image,(Missing Title; NARA),21,3
1243,Still Image,(Missing Title; NARA),21,3
1244,Still Image,(Missing Title; NARA),21,3
1245,Still Image,Die Einweihung des Hochkreuzes,305,55
1246,Still Image,Die Einweihung des steinernen jüdischen Mahnmals,661,106
1247,Still Image,Der Bau des internationalen Mahnmals,42,5
1248,Physical Object,Gestickte Katze,319,55
1249,Physical Object,Fotoapparat Leica 2 von Wieslaw Chrzanowski,336,55
1250,Still Image,Gestrickte Handschuhe,162,27
1251,Still Image,"""Bergen-Belsen""",226,37
1252,Still Image,Baracke 198,203,35
1253,Still Image,<unknown>,13,2
1254,Still Image,<unknown>,13,2
1255,Still Image,<unknown>,13,2
1256,Still Image,<unknown>,13,2
1257,Still Image,<unknown>,13,2
1258,Still Image,<unknown>,13,2
1259,Still Image,<unknown>,13,2
1260,Still Image,<unknown>,13,2
1261,Still Image,<unknown>,13,2
1262,Still Image,<unknown>,13,2
1263,Still Image,<unknown>,13,2
1264,Still Image,<unknown>,13,2
1265,Still Image,<unknown>,13,2
1266,Still Image,Geburtsurkunde für Gabriella Büchler,909,160
